line	experiment	NOR	group	category	DAS4	DAS7	DAS10	DAS13	DAS16	DAS19	DAS22
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	1	10.2	23.5	28.6	41.9	52.7	60.5
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	1	9.8	23.9	33.5	40.6	49.9	59.9
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	0.9	7.7	22.4	27.8	37.9	50.2	59.8
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	0.7	11.5	23.5	36.8	48.5	56.9	64.7
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	0.8	10.5	22.8	27.3	37.5	49.8	58.8
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	1	9.7	23.4	33.6	43.8	52.1	60.7
m047xMo17	exp2	heterozygous	Mo17_NIL_cross	m047	1	11.3	22.4	30.8	41.5	51.9	59.7
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	0	8.5	22.6	35.7	45.7	58.9	64.9
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1.1	10.4	23.9	28.9	42.3	49.6	57.5
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1.2	9.6	22.7	29.6	38.8	49.9	54.7
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1	10	22.8	28.7	38.6	48.6	54.4
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1	10	23.7	29.8	41.9	52.8	59.8
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1	9.4	23	29.6	39.8	47.5	56.5
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1.1	10.2	24.6	30.6	39.7	51.4	57.8
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1.3	9	22.8	30.7	37.5	53.2	60.6
m047xMo17	exp3	heterozygous	Mo17_NIL_cross	m047	1.2	10.3	21.9	26.2	39.7	49.7	56.8
Mo17	exp1	homozygous	Mo17	Mo17	0.7	6	16	24.5	28.7	43.5	52.6
Mo17	exp1	homozygous	Mo17	Mo17	0.4	5	15	23.6	29.6	42.6	51.9
Mo17	exp1	homozygous	Mo17	Mo17	0	4.9	12.8	20.1	27.4	33.5	54.9
Mo17	exp1	homozygous	Mo17	Mo17	0	0.6	5.2	13.2	27.8	39.2	55.5
Mo17	exp1	homozygous	Mo17	Mo17	0	0	5.3	13.4	28.6	29.7	54.6
Mo17	exp1	homozygous	Mo17	Mo17	0.5	7.3	15.4	22.3	31.6	36.8	43.7
Mo17	exp1	homozygous	Mo17	Mo17	0.6	8	17	21.7	29.9	45.8	50.7
Mo17	exp1	homozygous	Mo17	Mo17	0.5	6	15	22.6	29.7	42.7	49.7
Mo17	exp1	homozygous	Mo17	Mo17	0.6	6.3	14.4	21.8	30.5	39.5	42.9
Mo17	exp1	homozygous	Mo17	Mo17	0.9	6.9	16.4	22.9	29.6	42.7	49.7
Mo17	exp2	homozygous	Mo17	Mo17	1	8	19.6	23.5	30.3	46.5	52.8
Mo17	exp2	homozygous	Mo17	Mo17	0.6	7	17	21.6	26.4	42.5	49.5
Mo17	exp2	homozygous	Mo17	Mo17	0.7	6	16	22.5	28.9	40.6	48.9
Mo17	exp2	homozygous	Mo17	Mo17	0.7	5.9	12.6	20.3	27.9	42.9	48.6
Mo17	exp2	homozygous	Mo17	Mo17	0.6	8.4	16.8	25.7	35.8	43.5	49.9
Mo17	exp2	homozygous	Mo17	Mo17	0.8	9.6	12.7	25.8	33.3	45.3	52.5
Mo17	exp2	homozygous	Mo17	Mo17	0.8	6.8	17.5	24.5	32.4	46.4	52.7
Mo17	exp2	homozygous	Mo17	Mo17	0.7	6.3	17	24.1	29.9	46.5	52.5
Mo17	exp2	homozygous	Mo17	Mo17	0.5	2.7	6.9	15	29.7	36.8	42.5
Mo17	exp2	homozygous	Mo17	Mo17	1	8.9	18.1	23.9	29.6	45.7	53.8
Mo17	exp3	homozygous	Mo17	Mo17	1	7.5	17.5	26	29.6	46.5	52.7
Mo17	exp3	homozygous	Mo17	Mo17	0.5	6.3	19	25.3	30.6	43.8	50.6
Mo17	exp3	homozygous	Mo17	Mo17	0.9	7.5	18.6	25.7	31.1	51.5	55.4
Mo17	exp3	homozygous	Mo17	Mo17	1.1	7.5	14	19	29.8	41.4	47.6
Mo17	exp3	homozygous	Mo17	Mo17	1	7.2	17.5	26.5	33.2	43.6	50.7
Mo17	exp3	homozygous	Mo17	Mo17	0.7	6.3	16.1	24.8	30.5	42.3	49.7
Mo17	exp3	homozygous	Mo17	Mo17	1	7.5	17	24.6	31.6	39.6	41.4
Mo17	exp3	homozygous	Mo17	Mo17	1	5.8	15.8	23.2	29.5	46.5	52.8
Mo17	exp3	homozygous	Mo17	Mo17	1	7.8	16.5	23.5	30.5	44.7	51.7
Mo17	exp3	homozygous	Mo17	Mo17	1	7.9	18	25.4	32.5	44.3	52.6
